cluster_key,micro_skill_key,display_word,role,parts,joins,transformations,glosses,reconstructed_word,matches_display_word,derived_split_points,review_focus,reviewer_decision,reviewer_comment
D4_MOR_BASE_WORDS,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,replay,anchor,part_1:prefix[prefix_RE] source='re' surface='re' gloss='again' range=0-2 | part_2:base source='play' surface='play' gloss='' range=2-6,part_1->part_2 none '' range=2-2,,again | ,replay,TRUE,[2],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_BASE_WORDS,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,dislike,lesson_word,part_1:prefix[prefix_DIS] source='dis' surface='dis' gloss='not' range=0-3 | part_2:base source='like' surface='like' gloss='' range=3-7,part_1->part_2 none '' range=3-3,,not | ,dislike,TRUE,[3],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_BASE_WORDS,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,windy,lesson_word,part_1:base source='wind' surface='wind' gloss='' range=0-4 | part_2:suffix source='y' surface='y' gloss='having / like' range=4-5,part_1->part_2 none '' range=4-4,, | having / like,windy,TRUE,[4],slash_delimited_part_or_gloss,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_COMPOUND_WORDS,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,football,anchor,part_1:base source='foot' surface='foot' gloss='' range=0-4 | part_2:base source='ball' surface='ball' gloss='' range=4-8,part_1->part_2 none '' range=4-4,, | ,football,TRUE,[4],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_COMPOUND_WORDS,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,bedroom,lesson_word,part_1:base source='bed' surface='bed' gloss='' range=0-3 | part_2:base source='room' surface='room' gloss='' range=3-7,part_1->part_2 none '' range=3-3,, | ,bedroom,TRUE,[3],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_COMPOUND_WORDS,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,ice cream,anchor,part_1:base source='ice' surface='ice' gloss='' range=0-3 | part_2:base source='cream' surface='cream' gloss='' range=4-9,part_1->part_2 space ' ' range=3-4,, | ,ice cream,TRUE,[3],open_or_hyphenated_compound,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_DIS_MIS,misspell,anchor,part_1:prefix[prefix_MIS] source='mis' surface='mis' gloss='wrongly' range=0-3 | part_2:base source='spell' surface='spell' gloss='' range=3-8,part_1->part_2 none '' range=3-3,,wrongly | ,misspell,TRUE,[3],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_DIS_MIS,disagree,lesson_word,part_1:prefix[prefix_DIS] source='dis' surface='dis' gloss='not' range=0-3 | part_2:base source='agree' surface='agree' gloss='' range=3-8,part_1->part_2 none '' range=3-3,,not | ,disagree,TRUE,[3],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_SUB_INTER_SUPER,superhero,lesson_word,part_1:prefix[prefix_SUPER] source='super' surface='super' gloss='above / beyond' range=0-5 | part_2:base source='hero' surface='hero' gloss='' range=5-9,part_1->part_2 none '' range=5-5,,above / beyond | ,superhero,TRUE,[5],slash_delimited_part_or_gloss,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,telephone,anchor,part_1:root[root_TELE] source='tele' surface='tele' gloss='far' range=0-4 | part_2:root source='phone' surface='phone' gloss='sound' range=4-9,part_1->part_2 none '' range=4-4,,far | sound,telephone,TRUE,[4],root_or_etymology_review,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_ROOTS,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,active,lesson_word,part_1:root[root_ACT] source='act' surface='act' gloss='do' range=0-3 | part_2:suffix source='ive' surface='ive' gloss='adjective ending' range=3-6,part_1->part_2 none '' range=3-3,,do | adjective ending,active,TRUE,[3],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,autograph,stretch,part_1:root source='auto' surface='auto' gloss='self (Greek)' range=0-4 | part_2:root[root_GRAPH] source='graph' surface='graph' gloss='write' range=4-9,part_1->part_2 none '' range=4-4,,self (Greek) | write,autograph,TRUE,[4],root_or_etymology_review,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_ABLE_IBLE,washable,anchor,part_1:base source='wash' surface='wash' gloss='a real word alone → -able' range=0-4 | part_2:suffix[suffix_ABLE] source='able' surface='able' gloss='can be done' range=4-8,part_1->part_2 none '' range=4-4,,a real word alone → -able | can be done,washable,TRUE,[4],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_ABLE_IBLE,breakable,lesson_word,part_1:base source='break' surface='break' gloss='' range=0-5 | part_2:suffix[suffix_ABLE] source='able' surface='able' gloss='can be done' range=5-9,part_1->part_2 none '' range=5-5,, | can be done,breakable,TRUE,[5],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_OUS,famous,lesson_word,part_1:base source='fame' surface='fam' gloss='final e dropped' range=0-3 | part_2:suffix[suffix_OUS] source='ous' surface='ous' gloss='full of' range=3-6,part_1->part_2 none '' range=3-3,drop_final_e fame->fam: Drop final e from fame before adding ous.,final e dropped | full of,famous,TRUE,[3],spelling_transformation,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_WORD_FAMILIES,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,nature,anchor,part_1:root[root_NAT] source='nat' surface='nat' gloss='born' range=0-3 | part_2:suffix source='ure' surface='ure' gloss='noun ending' range=3-6,part_1->part_2 none '' range=3-3,,born | noun ending,nature,TRUE,[3],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
D4_MOR_WORD_FAMILIES,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,health,lesson_word,"part_1:root source='heal' surface='heal' gloss='same ea, new sound' range=0-4 | part_2:suffix source='th' surface='th' gloss='noun ending' range=4-6",part_1->part_2 none '' range=4-4,,"same ea, new sound | noun ending",health,TRUE,[4],ordinary_structural_spot_check,approved,Human-approved representative spot-check; health replaces heal to demonstrate the pronunciation-shift teaching point. Approval recorded 2026-07-11.
D4_MOR_WORD_FAMILIES,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,southern,stretch,part_1:root source='south' surface='south' gloss='same ou as south' range=0-5 | part_2:suffix source='ern' surface='ern' gloss='direction adjective' range=5-8,part_1->part_2 none '' range=5-5,,same ou as south | direction adjective,southern,TRUE,[5],ordinary_structural_spot_check,approved,Human-approved representative spot-check. Approval recorded 2026-07-11.
